Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
CSE 13S	Comp Sys and C Prog	Peter Alexander Alvaro	2024 Winter Quarter	2240	N	1	2	1	3	4	5	2	4		1		1	3		1						28
CSE 13S	Comp Sys and C Prog	Peter Alexander Alvaro	2024 Winter Quarter	2240	N	1	1	2	5	7	15	16	30		6	1	4	14	1	4		1		4		112
CSE 16	Appl Discrete Math	Owen Arden	2024 Winter Quarter	2240	N	65	58	45	40	25	34	25	38		4	6	3	12	2	3				4		364
CSE 16	Appl Discrete Math	Allen Van Gelder	2024 Winter Quarter	2240	N	5	6	3	3	8	6	5	13			1		4	1	2						57
CSE 20	Beginning Python	Oswald A Campesato	2024 Winter Quarter	2240	N		69	30	18	10	6	7	5	3	1	4	1	10	6	1				2		173
CSE 20	Beginning Python	Benedict John Paten	2024 Winter Quarter	2240	N	92	29	7	27	10		12	8	1	2	4		16	7	3				3		221
CSE 20	Beginning Python	Larissa A Munishkina	2024 Winter Quarter	2240	N	41	41	10	15	31	6	9	15			4		13	12	5	1	1		2		206
CSE 30	Prog Abs Python	Oswald A Campesato	2024 Winter Quarter	2240	N		188	52	22	26	15	4	8	2			2	2		2				2		325
CSE 30	Prog Abs Python	Larissa A Munishkina	2024 Winter Quarter	2240	N	25	61	37	11	23	8	5	10			5		3	3	3				2		196
CSE 40	ML Basics	Lise Getoor	2024 Winter Quarter	2240	N	7	71	17	12	43	10	5	10					3	19	5				2		204
