Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
FILM 194H	Ethics/Doc Filmmaking	Rebecca Ora	2021 Summer Quarter	2214	N		2	1	1	3	4		1	1	1			1	4							19
FMST 145	Race/Gender Formatn	Nicholas Oliver Mitchell	2021 Summer Quarter	2214	N	9	3	3	4			1	1					5		2				1		29
FMST 188	Topics in FMST	Taylor Rose Wondergem	2021 Summer Quarter	2214	N	2	9												1					1		13
HAVC 124B	Photography SE Asia	Catherine Marie Ries	2021 Summer Quarter	2214	N	6	5	7	6			1	1					1	2	1						30
HAVC 127F	AsianAmVisualCulture	Christina Marie Ayson Plank	2021 Summer Quarter	2214	N	2	12	15	7	10	1	1	1		1			2	9	4						65
HAVC 153	Women in Byzantium	Maureen Kay McGuire	2021 Summer Quarter	2214	N	1	9	6	6	1	1	1						1	4	1						31
HAVC 191B	Guadalupe Virgin	Rachel Bonner	2021 Summer Quarter	2214	N		4	1	1	2	1	1						2	2							14
HIS 2B	World Since 1500	Daniel McKenna Joesten	2021 Summer Quarter	2214	N	9	26	1	5	3			1	1				5	10	2						63
HIS 10A	U.S. History To 1877	Taylor Joy Kirsch	2021 Summer Quarter	2214	N	4	45	25	5	8	2	3	1				1	6	21	5				2		128
HIS 10B	US Hist 1877-1977	Lisa Michelle Jackson	2021 Summer Quarter	2214	N		6	6	3	5	4	1						2	10					1		38
HIS 59	Hist Eng Language	Charles W Hedrick	2021 Summer Quarter	2214	N		3	1	2	9		1	3			1		6	2	3				4		35
HIS 60	Medical/Sci Term	Charles W Hedrick	2021 Summer Quarter	2214	N	4	33	13	4	3	2	2	1					2	9							73
HIS 80D	Visual Mod East Asia	Kyuhyun Han	2021 Summer Quarter	2214	N	26	1				1							1	3					1		33
HIS 100	His Skills & Methds	Matthew D O'Hara	2021 Summer Quarter	2214	N		3	3	1	2	3							1								13
HIS 101D	World His of Science	Minghui Hu	2021 Summer Quarter	2214	N		1	7		1	1						1	2								13
HIS 134A	Colonial Mexico	Matthew D O'Hara	2021 Summer Quarter	2214	N		3	4	3	3	2	1	1	1	1			3	1	1				4		28
HIS 139C	Queer Pasts	Bristol Anne Cave-LaCoste	2021 Summer Quarter	2214	N	6	16	10	2	3	1	3	2					1								44
HIS 142	His Hong Kong/Taiwan	Wilson Miu	2021 Summer Quarter	2214	N		4	3	4	2	3	3	2	1					7	1						30
HISC 80O	Popular Music	Jared A Gampel	2021 Summer Quarter	2214	N		4	2	1	5	3	1	1					2	6	1						26
HISC 80S	War and the Media	Gabriel Salomon Mindel	2021 Summer Quarter	2214	N	7	20	8	2										3							40
HISC 103	The Problem of CA	Adrian Jay Drummond-Cole	2021 Summer Quarter	2214	N	2	8	3	2	3			1					1		1						21
HISC 129	Politics of Violence	Christian David Alvarado	2021 Summer Quarter	2214	N	2	4		1		1								1					1		10
JAPN 1	Japanese: First Year	Miyuki Takeuchi	2021 Summer Quarter	2214	N	3	9	2	5	1	1			1				2	1							25
KRSG 1A	Univ Life & Learning	Benjamin L. Carson; Jeremy Gauger	2021 Summer Quarter	2214	N														281	39						320
KRSG 1T	Rsrch Univ & Lib Arts	Benjamin L. Carson; Juliana I Leslie	2021 Summer Quarter	2214	N														412	28						440
KRSG 1T	Rsrch Univ & Lib Arts	Benjamin L. Carson; Martin Rizzo-Martinez	2021 Summer Quarter	2214	N														399	23						422
KRSG 1T	Rsrch Univ & Lib Arts	Benjamin L. Carson; Deborah Silguero	2021 Summer Quarter	2214	N														426	17						443
KRSG 1T	Rsrch Univ & Lib Arts	Benjamin L. Carson; Thao T Mai	2021 Summer Quarter	2214	N														408	31						439
KRSG 25	Transfer Success	Farnaz Fatemi	2021 Summer Quarter	2214	N	6	4											1								11
KRSG 25	Transfer Success	Juliana I Leslie	2021 Summer Quarter	2214	N		8	1	1																	10
KRSG 60C	Prison Narratives	Megan Sara McDrew	2021 Summer Quarter	2214	N	13	3		3							1		1	2	1				1		25
KRSG 65W	KRSG Lab Cr Writing	Juliana I Leslie	2021 Summer Quarter	2214	N	1	18	1			1							1	2							24
KRSG 65W	KRSG Lab Cr Writing	Roswell L Spafford	2021 Summer Quarter	2214	N	2	5	4	1	3	1	1	1						3							21
LALS 1	Intro Latin Amer St	Boyeong Kim	2021 Summer Quarter	2214	N	10	8	2	2	2			3			1		1	8							37
LALS 1	Intro Latin Amer St	Boyeong Kim	2021 Summer Quarter	2214	N	13	5	1	1							1			1	1						23
