Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
WRIT 2	Rhetoric & Inquiry	Lisa Ann Schilz	2023 Fall Quarter	2238	N		15	1	4	1								1	3							25
WRIT 2	Rhetoric & Inquiry	Lisa Ann Schilz	2023 Fall Quarter	2238	N		18	2	2	1									2							25
WRIT 2	Rhetoric & Inquiry	Denise Silva	2023 Fall Quarter	2238	N	4	1	1	2	4			3			2			3	5						25
WRIT 2	Rhetoric & Inquiry	Denise Silva	2023 Fall Quarter	2238	N	1	7	1	4	4	1		1						5					1		25
WRIT 2	Rhetoric & Inquiry	Terry L Terhaar	2023 Fall Quarter	2238	N		3		5	6	2					1			4	1				2		24
WRIT 2	Rhetoric & Inquiry	Terry L Terhaar	2023 Fall Quarter	2238	N		3			6	6		1			2			3	1						22
WRIT 2	Rhetoric & Inquiry	Terry L Terhaar	2023 Fall Quarter	2238	N		4		2	3	4		1				1	1	5					1		22
WRIT 2	Rhetoric & Inquiry	Tiffany Lynn Wong	2023 Fall Quarter	2238	N	1	10	7										2	3	1						24
WRIT 2	Rhetoric & Inquiry	Kristen Terry	2023 Fall Quarter	2238	N	1	5	5		2	3		1					1	4	1						23
WRIT 2	Rhetoric & Inquiry	Alexandra Marie McCourt	2023 Fall Quarter	2238	N	2	8	9	2	1	2	1														25
WRIT 26	Writing About Lang	Gail Abel Brenner	2023 Fall Quarter	2238	N	5	2		1	1		1	1			2										13
WRIT 26	Writing About Lang	Donald Patrick Miller	2023 Fall Quarter	2238	N		4	2	1	2	1		2		1	1	1	2								17
WRIT 169	Tutoring Writing	Robin Y King	2023 Fall Quarter	2238	N		4	3		1									1	1						10
